variable_harness,metric,mean_5,sd_5,mean_7,sd_7,mean_10,sd_10
"*,^Anterior/Posterior Trunk Tilt_old",degrees,7,4,10,5,13,4
"*,^Anterior/Posterior Trunk Tilt_new",degrees,7,3,10,4,14,4
*Pelvic Tilt_old,degrees,17,4,19,4,21,5
*Pelvic Tilt_new,degrees,16,3,18,4,21,5
