variable_harness,metric,mean_5,sd_5,mean_7,sd_7,mean_10,sd_10
Ankle Dorsiflexion ROM_old,degrees,33,3,33,3,36,6
Ankle Dorsiflexion ROM_new,degrees,34,3,34,3,35,6
Knee Flexion ROM_old,degrees,69,3,70,3,70,4
Knee Flexion ROM_new,degrees,70,2,70,3,70,4
Hip Flexion ROM_old,degrees,55,3,59,3,60,6
Hip Flexion ROM_new,degrees,56,3,59,3,61,6
Pelvic Obliquity ROM_old,degrees,7,3,8,3,8,2
Pelvic Obliquity ROM_new,degrees,7,4,8,5,8,2
