variable_harness,mean_5,sd_5,mean_7,sd_7,mean_10,sd_10
Ant Trunk Tilt_old,-7,4,-10,5,-13,4
Ant Trunk Tilt_new,-7,3,-10,4,-14,4
Anterior Pelvic Tilt_old,-17,4,-19,4,-21,5
Anterior Pelvic Tilt_new,-16,3,-18,4,-21,5
